source_db,title,authors,year,venue,doi,url,abstract,publisher,retrieved_via
Other (via OpenAlex),Safe and Explainable Reinforcement Learning-Based Intelligent Switching Control for Standalone and Grid-Tied Z-Source Inverter under Uncertain Solar Conditions,Biswanath Hajoary; Ranjay Das; Ganesh Roy; Daijiry Narzary,2026,Energy Engineering,10.32604/ee.2026.075305,https://openalex.org/W7162017368,"The increasing integration of photovoltaic systems into smart grids requires accurate evaluation of power conversion efficiency and output performance. In this context, Z Source Multilevel Inverters function as voltage boosting converters and offer a certain degree of fault tolerance. However, conventional control strategies such as proportional integral controllers and hybrid optimization-based methods including POA-RFA (Pelican Optimization Algorithm-Random Forest Algorithm) are limited in their ability to maintain dynamic stability, efficiency, and operational safety under varying solar irradiance and load conditions. This study proposes a safe and explainable Deep Q Network based intelligent switching control framework for the Modified Capacitor Assisted Extended Boost Z Source Multilevel Inverter operating in both standalone and grid tied modes. A unified reinforcement learning controller is designed to ensure effective voltage regulation, strict enforcement of safety constraints, and transparent decision making through SHAP (SHapley Additive exPlanations) based interpretability. Simulation results demonstrate that the proposed Safe DQN (Safety-Aware Deep Q-Network) controller achieves a total harmonic distortion of 1.63 percent and an efficiency of 97.8 percent without any safety violations across diverse operating scenarios. In addition, it provides 40 percent faster settling time and 50 percent lower switching losses compared to proportional integral and POA RFA controllers. Explainability analysis confirms that the control decisions are consistent with the underlying physical dynamics of the system. Overall, this work advances safe, adaptive, and interpretable control strategies for renewable energy converters suitable for real time intelligent power electronic applications.",Taylor & Francis,openalex_api
Other (via OpenAlex),Policy Convergence and Explainable Stability in Orchestrated Multi-Agent LLM Trading Frameworks,Shourya Dewansh,2026,International Journal of Advanced engineering Management and Science,10.22161/ijaems.122.8,https://openalex.org/W7136504384,"This article examines orchestrated multi-agent large language model trading frameworks through the paired lenses of policy convergence and explainable stability. The topic has gained urgency because recent financial agent systems increasingly rely on distributed deliberation, memory, critique, and risk filtering, while evaluation practice still privileges return metrics over decision coherence and rationale persistence. The aim is to formulate an analytical framework for assessing whether specialized agents move toward a stable executable policy and whether the accompanying explanation remains consistent under workflow pressure, market variability, and iterative revision. The study draws on recent work in explainable AI for finance, explainable reinforcement learning, multi-agent reinforcement learning, quantitative trading, and LLM-based financial agents. Comparative source analysis, conceptual structuring, analytical synthesis, and cross-framework interpretation were applied. The analytical section identifies four determinants of stability: evidence discipline, deliberative topology, risk-gating logic, and adaptive memory control. The resulting framework supports research design, model auditing, and architecture selection for high-stakes AI trading systems.",,openalex_api
Other (via OpenAlex),Explain-Then-Act: A Novel LLM-Critic Framework for Safer Reinforcement Learning in Autonomous Driving,Thanippuli Appuhamilage Dimuth Indeewara,2026,Qucosa (Saxon State and University Library Dresden),,https://openalex.org/W7141773084,"Autonomous driving systems increasingly rely on deep reinforcement learning for decision making in dynamic traffic environments, yet these models operate as black boxes and lack mechanisms for transparent, safety-oriented reasoning. This thesis proposes an Explain-Then-Act framework that integrates a large language model as a safety critic within a reinforcement learning based driving policy to enable pre-action evaluation and structured self-critique. Before execution, each action generated by a Proximal Policy Optimization agent is assessed using contextual traffic information, including ego state, surrounding vehicles, headway distance, and time-to-collision metrics. The language model classifies actions as safe, risky, or unsafe and provides a natural language explanation, triggering re-planning when necessary. A hybrid reward function incorporates both environmental feedback and safety critique signals to guide policy learning. Evaluation in a simulated highway environment demonstrates improved safety performance and more reliable behavior while maintaining competitive efficiency. The proposed framework advances explainable reinforcement learning by embedding interpretability and safety assessment directly into the decision-making process, contributing to more transparent and accountable autonomous driving systems.",SLUB Dresden,openalex_api
ACM Digital Library (via OpenAlex),Explainable Reinforcement Learning: A Survey and Comparative Review,Stephanie Milani; Nicholay Topin; Manuela Veloso; Fei Fang,2023,ACM Computing Surveys,10.1145/3616864,https://openalex.org/W4386193536,"Explainable reinforcement learning (XRL) is an emerging subfield of explainable machine learning that has attracted considerable attention in recent years. The goal of XRL is to elucidate the decision-making process of reinforcement learning (RL) agents in sequential decision-making settings. Equipped with this information, practitioners can better understand important questions about RL agents (especially those deployed in the real world), such as what the agents will do and why. Despite increased interest, there exists a gap in the literature for organizing the plethora of papers—especially in a way that centers the sequential decision-making nature of the problem. In this survey, we propose a novel taxonomy for organizing the XRL literature that prioritizes the RL setting. We propose three high-level categories: feature importance, learning process and Markov decision process, and policy-level. We overview techniques according to this taxonomy, highlighting challenges and opportunities for future work. We conclude by using these gaps to motivate and outline a roadmap for future work.",Association for Computing Machinery,openalex_api
SpringerLink (via OpenAlex),Explainable reinforcement learning (XRL): a systematic literature review and taxonomy,Yanzhe Bekkemoen,2023,Machine Learning,10.1007/s10994-023-06479-7,https://openalex.org/W4389131286,"Abstract In recent years, reinforcement learning (RL) systems have shown impressive performance and remarkable achievements. Many achievements can be attributed to combining RL with deep learning. However, those systems lack explainability, which refers to our understanding of the system’s decision-making process. In response to this challenge, the new explainable RL (XRL) field has emerged and grown rapidly to help us understand RL systems. This systematic literature review aims to give a unified view of the field by reviewing ten existing XRL literature reviews and 189 XRL studies from the past five years. Furthermore, we seek to organize these studies into a new taxonomy, discuss each area in detail, and draw connections between methods and stakeholder questions (e.g., “how can I get the agent to do _?”). Finally, we look at the research trends in XRL, recommend XRL methods, and present some exciting research directions for future research. We hope stakeholders, such as RL researchers and practitioners, will utilize this literature review as a comprehensive resource to overview existing state-of-the-art XRL methods. Additionally, we strive to help find research gaps and quickly identify methods that answer stakeholder questions.",Springer Science+Business Media,openalex_api
arXiv,A Survey of Explainable Reinforcement Learning,Stephanie Milani; Nicholay Topin; Manuela Veloso; Fei Fang,2022,arXiv (Cornell University),10.48550/arxiv.2202.08434,https://openalex.org/W4225834215,"Explainable reinforcement learning (XRL) is an emerging subfield of explainable machine learning that has attracted considerable attention in recent years. The goal of XRL is to elucidate the decision-making process of learning agents in sequential decision-making settings. In this survey, we propose a novel taxonomy for organizing the XRL literature that prioritizes the RL setting. We overview techniques according to this taxonomy. We point out gaps in the literature, which we use to motivate and outline a roadmap for future work.",Cornell University,openalex_api
arXiv,"A Survey on Explainable Reinforcement Learning: Concepts, Algorithms, Challenges","Yunpeng Qing; Shunyu Liu; Jie Song; Zhou, Yang; Chen, Kaixuan; Wang, Huiqiong; Song, Mingli",2022,arXiv (Cornell University),10.48550/arxiv.2211.06665,https://openalex.org/W4309183395,"Reinforcement Learning (RL) is a popular machine learning paradigm where intelligent agents interact with the environment to fulfill a long-term goal. Driven by the resurgence of deep learning, Deep RL (DRL) has witnessed great success over a wide spectrum of complex control tasks. Despite the encouraging results achieved, the deep neural network-based backbone is widely deemed as a black box that impedes practitioners to trust and employ trained agents in realistic scenarios where high security and reliability are essential. To alleviate this issue, a large volume of literature devoted to shedding light on the inner workings of the intelligent agents has been proposed, by constructing intrinsic interpretability or post-hoc explainability. In this survey, we provide a comprehensive review of existing works on eXplainable RL (XRL) and introduce a new taxonomy where prior works are clearly categorized into model-explaining, reward-explaining, state-explaining, and task-explaining methods. We also review and highlight RL methods that conversely leverage human knowledge to promote learning efficiency and performance of agents while this kind of method is often ignored in XRL field. Some challenges and opportunities in XRL are discussed. This survey intends to provide a high-level summarization of XRL and to motivate future research on more effective XRL solutions. Corresponding open source codes are collected and categorized at https://github.com/Plankson/awesome-explainable-reinforcement-learning.",Cornell University,openalex_api
arXiv,"A Survey of Explainable Reinforcement Learning: Targets, Methods and Needs",Léo Saulières,2025,arXiv (Cornell University),10.48550/arxiv.2507.12599,https://openalex.org/W4415309496,"The success of recent Artificial Intelligence (AI) models has been accompanied by the opacity of their internal mechanisms, due notably to the use of deep neural networks. In order to understand these internal mechanisms and explain the output of these AI models, a set of methods have been proposed, grouped under the domain of eXplainable AI (XAI). This paper focuses on a sub-domain of XAI, called eXplainable Reinforcement Learning (XRL), which aims to explain the actions of an agent that has learned by reinforcement learning. We propose an intuitive taxonomy based on two questions ""What"" and ""How"". The first question focuses on the target that the method explains, while the second relates to the way the explanation is provided. We use this taxonomy to provide a state-of-the-art review of over 250 papers. In addition, we present a set of domains close to XRL, which we believe should get attention from the community. Finally, we identify some needs for the field of XRL.",Cornell University,openalex_api
arXiv,Causal State Distillation for Explainable Reinforcement Learning,Wenhao Lu; Xufeng Zhao; Thilo Fryen; Jae Hee Lee; Mengdi Li; Sven Magg; Stefan Wermter,2023,arXiv (Cornell University),10.48550/arxiv.2401.00104,https://openalex.org/W4390529028,"Reinforcement learning (RL) is a powerful technique for training intelligent agents, but understanding why these agents make specific decisions can be quite challenging. This lack of transparency in RL models has been a long-standing problem, making it difficult for users to grasp the reasons behind an agent's behaviour. Various approaches have been explored to address this problem, with one promising avenue being reward decomposition (RD). RD is appealing as it sidesteps some of the concerns associated with other methods that attempt to rationalize an agent's behaviour in a post-hoc manner. RD works by exposing various facets of the rewards that contribute to the agent's objectives during training. However, RD alone has limitations as it primarily offers insights based on sub-rewards and does not delve into the intricate cause-and-effect relationships that occur within an RL agent's neural model. In this paper, we present an extension of RD that goes beyond sub-rewards to provide more informative explanations. Our approach is centred on a causal learning framework that leverages information-theoretic measures for explanation objectives that encourage three crucial properties of causal factors: causal sufficiency, sparseness, and orthogonality. These properties help us distill the cause-and-effect relationships between the agent's states and actions or rewards, allowing for a deeper understanding of its decision-making processes. Our framework is designed to generate local explanations and can be applied to a wide range of RL tasks with multiple reward channels. Through a series of experiments, we demonstrate that our approach offers more meaningful and insightful explanations for the agent's action selections.",Cornell University,openalex_api
Other (via OpenAlex),EXPLAINABLE REINFORCEMENT LEARNING FOR TRANSPARENT AUTONOMOUS DECISION SYSTEMS,Miruthula G,2026,,10.22541/au.177222571.15877912/v1,https://openalex.org/W7131904150,"Reinforcement Learning (RL) enables autonomous agents to learn optimal decision-making methods through their continuous interactions with changing environments. RL-based systems are widely used in fields including robotics and intelligent transportation and smart grid management and healthcare automation and industrial control systems. Most reinforcement learning models operate as black-box systems which identify actions without providing any explanation about their decision-making process. The lack of transparency results in decreased human trust toward autonomous systems while creating security risks and responsibility issues which impact critical autonomous systems. To solve this problem the paper introduces an Explainable Reinforcement Learning XRL system which improves visibility for autonomous decision-making processes. The proposed framework extends standard reinforcement learning systems through its additional explanation generation module which explains system activities by analysing state importance and reward assessment. The system generates understandable explanations for every automated decision by examining state-action value distributions and assessment of policy confidence levels. The system includes attention-based state highlighting and reward decomposition analysis as visual tools to explain decision-making processes. The system uses transparency-aware evaluation metrics to measure three aspects of system performance which are interpretability, explanation consistency, and user trust. The framework operates in a simulated autonomous navigation environment which enables performance testing through comparisons to standard RL implementations. The XRL model provides equivalent reward results to existing solutions yet it boosts interpretability and decision-making understanding without requiring extra computing resources. The results demonstrate that explainability should become a fundamental component of reinforcement learning development to establish dependable and accountable autonomous systems. The proposed approach establishes a connection between advanced learning systems and decision-making methods which humans can comprehend. The research team plans to create two new research paths which involve extending existing frameworks to deep reinforcement learning systems and testing them in safety-critical environments",,openalex_api
Other (via OpenAlex),"EXPLAINABLE REINFORCEMENT LEARNING FOR HIGH-STAKES DECISION SYSTEMS DEVELOPING INTERPRETABLE RL MODELS FOR AUTONOMOUS VEHICLES, HEALTHCARE, OR FINANCE",Sai Srinivas Matta; Manish Bolli,2022,,10.63125/53crx355,https://openalex.org/W4415994108,"The study on Explainable Reinforcement Learning (XRL) for High-Stakes Decision Systems: Developing Interpretable RL Models for Autonomous Vehicles, Healthcare, or Finance had been conducted to investigate how interpretability in reinforcement learning enhances performance, trust, and accountability in critical decision-making environments. This research had reviewed and synthesized findings from 126 peer-reviewed papers spanning the past decade, focusing on the integration of explain ability mechanisms into reinforcement learning models applied to safety-critical and ethically sensitive domains. The study aimed to identify quantitative relationships between key explain ability constructs—fidelity, stability, and comprehensibility—and measurable human or system outcomes such as decision accuracy, response time, trust calibration, and accountability perception. Using a mixed quantitative framework, the research combined simulation-based performance data, human-centered evaluation metrics, and statistical modeling to assess how explainable RL architectures perform compared to non-explainable counterparts. The findings revealed that explainable reinforcement learning models consistently outperformed traditional opaque systems across all three domains. In autonomous vehicles, explanations improved driver response times and reduced intervention rates; in healthcare, they enhanced clinician confidence and treatment decision accuracy; and in finance, they improved risk-adjusted returns and investor trust. Regression and correlation analyses demonstrated that explanation fidelity strongly predicted decision accuracy, while explanation stability and comprehensibility were significant predictors of trust and accountability. Furthermore, repeated-measures ANOVA confirmed statistically significant improvements in user trust and performance under explainable conditions, supported by large effect sizes. The study also identified several persistent challenges, including the trade-off between interpretability and performance, variability in user comprehension, and limitations in real-time explanation delivery. Overall, the review and empirical analysis provided a comprehensive understanding of how explainable reinforcement learning contributes to safer, more transparent, and ethically accountable AI-driven decision systems. The insights derived from the 126 reviewed studies establish a robust foundation for developing future XRL frameworks capable of balancing performance optimization with human interpretability in complex, high-stakes environments such as autonomous vehicles, clinical systems, and financial analytics.",,openalex_api
Other (via OpenAlex),A Study of Explainability Inquiry Based on Reinforcement Learning,Shuqi Yang,2025,ITM Web of Conferences,10.1051/itmconf/20257801039,https://openalex.org/W4414070870,"With the application of Reinforcement Learning (RL) in security-sensitive fields such as healthcare, autonomous driving, and finance, the lack of Explainable Reinforcement Learning (XRL) restricts the technology's grounding and social trust. This paper reviews XRL's progress, constructing a framework covering core challenges, methods, and applications. Core challenges include black-box decision-making, reward bias, and complex multi-intelligence interaction. Among the existing methods, the intrinsic interpretability of the model is limited by the generalization ability, the ex-post interpretation method faces the problem of poor local-global consistency, and the hybrid method is difficult to dynamically adapt due to the high complexity of the system. XRL shows potential in medical decision-making, autonomous driving safety, and financial risk control through causal reasoning and multimodal interpretation, but further optimization is needed. This paper emphasizes building a standardized evaluation system and explores cutting-edge directions like cross-domain migration and multimodal human-computer collaborative interpretation to deepen XRL's theoretical framework and promote its safe application in high-risk domains.",EDP Sciences,openalex_api
Other (via OpenAlex),Policy Convergence and Explainable Stability in Orchestrated Multi-Agent LLM Trading Frameworks,Shourya Dewansh,2026,International Journal of Advanced engineering Management and Science,10.22161/ijaems.122.8,https://openalex.org/W7136504384,"This article examines orchestrated multi-agent large language model trading frameworks through the paired lenses of policy convergence and explainable stability. The topic has gained urgency because recent financial agent systems increasingly rely on distributed deliberation, memory, critique, and risk filtering, while evaluation practice still privileges return metrics over decision coherence and rationale persistence. The aim is to formulate an analytical framework for assessing whether specialized agents move toward a stable executable policy and whether the accompanying explanation remains consistent under workflow pressure, market variability, and iterative revision. The study draws on recent work in explainable AI for finance, explainable reinforcement learning, multi-agent reinforcement learning, quantitative trading, and LLM-based financial agents. Comparative source analysis, conceptual structuring, analytical synthesis, and cross-framework interpretation were applied. The analytical section identifies four determinants of stability: evidence discipline, deliberative topology, risk-gating logic, and adaptive memory control. The resulting framework supports research design, model auditing, and architecture selection for high-stakes AI trading systems.",,openalex_api
ACM Digital Library (via OpenAlex),Explainable Reinforcement Learning: A Survey and Comparative Review,Stephanie Milani; Nicholay Topin; Manuela Veloso; Fei Fang,2023,ACM Computing Surveys,10.1145/3616864,https://openalex.org/W4386193536,"Explainable reinforcement learning (XRL) is an emerging subfield of explainable machine learning that has attracted considerable attention in recent years. The goal of XRL is to elucidate the decision-making process of reinforcement learning (RL) agents in sequential decision-making settings. Equipped with this information, practitioners can better understand important questions about RL agents (especially those deployed in the real world), such as what the agents will do and why. Despite increased interest, there exists a gap in the literature for organizing the plethora of papers—especially in a way that centers the sequential decision-making nature of the problem. In this survey, we propose a novel taxonomy for organizing the XRL literature that prioritizes the RL setting. We propose three high-level categories: feature importance, learning process and Markov decision process, and policy-level. We overview techniques according to this taxonomy, highlighting challenges and opportunities for future work. We conclude by using these gaps to motivate and outline a roadmap for future work.",Association for Computing Machinery,openalex_api
SpringerLink (via OpenAlex),Explainable reinforcement learning (XRL): a systematic literature review and taxonomy,Yanzhe Bekkemoen,2023,Machine Learning,10.1007/s10994-023-06479-7,https://openalex.org/W4389131286,"Abstract In recent years, reinforcement learning (RL) systems have shown impressive performance and remarkable achievements. Many achievements can be attributed to combining RL with deep learning. However, those systems lack explainability, which refers to our understanding of the system’s decision-making process. In response to this challenge, the new explainable RL (XRL) field has emerged and grown rapidly to help us understand RL systems. This systematic literature review aims to give a unified view of the field by reviewing ten existing XRL literature reviews and 189 XRL studies from the past five years. Furthermore, we seek to organize these studies into a new taxonomy, discuss each area in detail, and draw connections between methods and stakeholder questions (e.g., “how can I get the agent to do _?”). Finally, we look at the research trends in XRL, recommend XRL methods, and present some exciting research directions for future research. We hope stakeholders, such as RL researchers and practitioners, will utilize this literature review as a comprehensive resource to overview existing state-of-the-art XRL methods. Additionally, we strive to help find research gaps and quickly identify methods that answer stakeholder questions.",Springer Science+Business Media,openalex_api
Other (via OpenAlex),XRL-Bench: A Benchmark for Evaluating and Comparing Explainable Reinforcement Learning Techniques,Yu Xiong; Zhipeng Hu; Ye Huang; Runze Wu; Kai Guan; Xingchen Fang; Ji Tong Jiang; Tianze Zhou; Yujing Hu; Haoyu Liu; Tangjie Lyu; Changjie Fan,2024,,10.1145/3637528.3671595,https://openalex.org/W4401857392,"Reinforcement Learning (RL) has demonstrated substantial potential across diverse fields, yet understanding its decision-making process, especially in real-world scenarios where rationality and safety are paramount, is an ongoing challenge. This paper delves in to Explainable RL (XRL), a subfield of Explainable AI (XAI) aimed at unravelling the complexities of RL models. Our focus rests on state-explaining techniques, a crucial subset within XRL methods, as they reveal the underlying factors influencing an agent's actions at any given time. Despite their significant role, the lack of a unified evaluation framework hinders assessment of their accuracy and effectiveness. To address this, we introduce XRL-Bench, a unified standardized benchmark tailored for the evaluation and comparison of XRL methods, encompassing three main modules: standard RL environments, explainers based on state importance, and standard evaluators. XRL-Bench supports both tabular and image data for state explanation. We also propose TabularSHAP, an innovative and competitive XRL method. We demonstrate the practical utility of TabularSHAP in real-world online gaming services and offer an open-source benchmark platform for the straightforward implementation and evaluation of XRL methods. Our contributions facilitate the continued progression of XRL technology.",,openalex_api
arXiv,Explainable Reinforcement Learning on Financial Stock Trading using SHAP,Satyam Kumar; Mendhikar Vishal; Vadlamani Ravi,2022,arXiv (Cornell University),10.48550/arxiv.2208.08790,https://openalex.org/W4292447465,"Explainable Artificial Intelligence (XAI) research gained prominence in recent years in response to the demand for greater transparency and trust in AI from the user communities. This is especially critical because AI is adopted in sensitive fields such as finance, medicine etc., where implications for society, ethics, and safety are immense. Following thorough systematic evaluations, work in XAI has primarily focused on Machine Learning (ML) for categorization, decision, or action. To the best of our knowledge, no work is reported that offers an Explainable Reinforcement Learning (XRL) method for trading financial stocks. In this paper, we proposed to employ SHapley Additive exPlanation (SHAP) on a popular deep reinforcement learning architecture viz., deep Q network (DQN) to explain an action of an agent at a given instance in financial stock trading. To demonstrate the effectiveness of our method, we tested it on two popular datasets namely, SENSEX and DJIA, and reported the results.",Cornell University,openalex_api
arXiv,Behaviour Discovery and Attribution for Explainable Reinforcement Learning,Rishav Rishav; Somjit Nath; Vincent Michalski; Samira Ebrahimi Kahou,2025,arXiv (Cornell University),10.48550/arxiv.2503.14973,https://openalex.org/W4414902454,"Building trust in reinforcement learning (RL) agents requires understanding why they make certain decisions, especially in high-stakes applications like robotics, healthcare, and finance. Existing explainability methods often focus on single states or entire trajectories, either providing only local, step-wise insights or attributing decisions to coarse, episodelevel summaries. Both approaches miss the recurring strategies and temporally extended patterns that actually drive agent behavior across multiple decisions. We address this gap by proposing a fully offline, reward-free framework for behavior discovery and segmentation, enabling the attribution of actions to meaningful and interpretable behavior segments that capture recurring patterns appearing across multiple trajectories. Our method identifies coherent behavior clusters from state-action sequences and attributes individual actions to these clusters for fine-grained, behavior-centric explanations. Evaluations on four diverse offline RL environments show that our approach discovers meaningful behaviors and outperforms trajectory-level baselines in fidelity, human preference, and cluster coherence. Our code is publicly available.",Cornell University,openalex_api
Other (via OpenAlex),AI Governance via Explainable Reinforcement Learning (XRL) for Adaptive Cyber Deception in Zero-Trust Networks,Anil Kumar Pakina,2025,Journal of Information Systems Engineering & Management,10.52783/jisem.v10i43s.8308,https://openalex.org/W4410323014,"This study presents the design and evaluation of an Explainable Reinforcement Learning (XRL) system guided by AI governance principles for adaptive cyber deception within a Zero-Trust Architecture (ZTA). The proposed approach integrates a Monte Carlo Tree Search (MCTS)-based reinforcement learning agent with SHAP (SHapley Additive exPlanations) to deliver transparent and effective deception strategies against advanced persistent threats (APTs). The simulated environment consists of a containerized network with user workstations, honeypots, and a file server, governed by strict Zero-Trust policies such as least privilege and continuous verification. The reinforcement learning agent was trained to perform deception actions, including deploying honeypots and generating alerts, based on attacker behavior. SHAP values provided feature-level explanations for each decision, which were logged in a governance dashboard designed around ISO/IEC 42001 compliance standards. Key metrics evaluated include false positive rate (FPR), honeypot engagement time, decision explainability, and overall governance compliance. Results showed a 23% reduction in FPR, a 47% increase in honeypot engagement time, and a 94% rise in decision transparency. The overall governance score improved from 43% to 89%. The system's learning stabilized after 380 episodes, with the agent demonstrating consistent decision-making and improved attacker manipulation over time. These findings highlight the system's ability to balance technical performance with explainability and oversight, making it suitable for secure and accountable AI applications in cybersecurity. The integration of XRL into ZTA offers a promising approach for enhancing deception-based defense mechanisms while ensuring trust and transparency in AI-driven environments.",Lectito Journals,openalex_api
Other (via OpenAlex),Explainable Reinforcement Learning(XRL)-Based Decap Placement Optimization for High Bandwidth Memory (HBM),Keunwoo Kim; Hyunwook Park; Keeyoung Son; Seonguk Choi; Taein Shin; Junghyun Lee; Jiwon Yoon; Hyunjun An; Haeyeon Kim; Wooshin Choi; Jung-Hwan Choi; Joungho Kim,2024,,10.1109/epeps61853.2024.10754045,https://openalex.org/W4404577499,"In this paper, for the first time, we propose an explainable reinforcement learning (XRL)-based decap placement optimization method for high bandwidth memory (HBM) considering power integrity (PI). The proposed XRL-based method enhances explainability by transforming the sum of various types of rewards into a vector sum operation for the trained model. A CNN-based network was used for training, with each reward considered from a multi-objective RL perspective. To verify the proposed method, we applied it to solve the problem of placing decaps at VDDQ domain of HBM3 module. In this paper, rewards were set as the suppression of self-impedance and transfer-impedance at each probing port. The proposed method achieved improvements of 2.8% compared to usage of general scalar sum reward. Ultimately, the vector differences in the Q-value for different actions provided grounds for action taken and allowed for the evaluation of whether the model was well-trained.",,openalex_api
Other (via OpenAlex),Toward Policy Explanations for Multi-Agent Reinforcement Learning,Kayla Boggess; Sarit Kraus; Feng Lu,2022,Proceedings of the Thirty-First International Joint Conference on Artificial Intelligence,10.24963/ijcai.2022/16,https://openalex.org/W4225093764,"Advances in multi-agent reinforcement learning (MARL) enable sequential decision making for a range of exciting multi-agent applications such as cooperative AI and autonomous driving. Explaining agent decisions is crucial for improving system transparency, increasing user satisfaction, and facilitating human-agent collaboration. However, existing works on explainable reinforcement learning mostly focus on the single-agent setting and are not suitable for addressing challenges posed by multi-agent environments. We present novel methods to generate two types of policy explanations for MARL: (i) policy summarization about the agent cooperation and task sequence, and (ii) language explanations to answer queries about agent behavior. Experimental results on three MARL domains demonstrate the scalability of our methods. A user study shows that the generated explanations significantly improve user performance and increase subjective ratings on metrics such as user satisfaction.",,openalex_api
SpringerLink (via OpenAlex),A systematic review of human-centered explainability in reinforcement learning: transferring the RCC framework to support epistemic trustworthiness,Maximilian Moll; John Dorsch,2025,Human-Intelligent Systems Integration,10.1007/s42454-025-00084-w,https://openalex.org/W4414756490,"Abstract This paper presents a systematic review of explainable reinforcement learning methodologies with an emphasis on human-centered evaluation frameworks. Drawing from literature between 2017 and 2025, we apply and extend the Reasons, Confidence, and Counterfactuals (RCC) framework—originally designed for supervised learning—to reinforcement learning contexts. Our analysis reveals two predominant explanatory strategies: constructive, where explicit explanations are generated, and supportive, where users must infer reasoning from provided visual or textual cues. Our review also emphasizes human factor considerations, like task complexity, explanation formats, and evaluation methodologies. Particularly, for the latter, our analysis shows that improvement of the quality of decision is rarely measured.",Springer Science+Business Media,openalex_api
arXiv,Objective Metrics for Human-Subjects Evaluation in Explainable Reinforcement Learning,Bálint Gyevnár; Mark Towers,2025,arXiv (Cornell University),10.48550/arxiv.2501.19256,https://openalex.org/W4407091688,"Explanation is a fundamentally human process. Understanding the goal and audience of the explanation is vital, yet existing work on explainable reinforcement learning (XRL) routinely does not consult humans in their evaluations. Even when they do, they routinely resort to subjective metrics, such as confidence or understanding, that can only inform researchers of users' opinions, not their practical effectiveness for a given problem. This paper calls on researchers to use objective human metrics for explanation evaluations based on observable and actionable behaviour to build more reproducible, comparable, and epistemically grounded research. To this end, we curate, describe, and compare several objective evaluation methodologies for applying explanations to debugging agent behaviour and supporting human-agent teaming, illustrating our proposed methods using a novel grid-based environment. We discuss how subjective and objective metrics complement each other to provide holistic validation and how future work needs to utilise standardised benchmarks for testing to enable greater comparisons between research.",Cornell University,openalex_api
SpringerLink (via OpenAlex),Evaluation of Intrinsic Explainable Reinforcement Learning in Remote Electrical Tilt Optimization,Franco Ruggeri; Ahmad Terra; Rafia Inam; Karl Henrik Johansson,2023,Lecture notes in networks and systems,10.1007/978-981-99-3236-8_67,https://openalex.org/W4386781082,,Springer International Publishing,openalex_api
arXiv,XRL-Bench: A Benchmark for Evaluating and Comparing Explainable Reinforcement Learning Techniques,Yu Xiong; Zhipeng Hu; Ye Huang; Runze Wu; Kai Guan; Xingchen Fang; Ji Hai Jiang; Tianze Zhou; Yujing Hu; Haoyu Liu; Tangjie Lyu; Changjie Fan,2024,arXiv (Cornell University),10.48550/arxiv.2402.12685,https://openalex.org/W4392019921,"Reinforcement Learning (RL) has demonstrated substantial potential across diverse fields, yet understanding its decision-making process, especially in real-world scenarios where rationality and safety are paramount, is an ongoing challenge. This paper delves in to Explainable RL (XRL), a subfield of Explainable AI (XAI) aimed at unravelling the complexities of RL models. Our focus rests on state-explaining techniques, a crucial subset within XRL methods, as they reveal the underlying factors influencing an agent's actions at any given time. Despite their significant role, the lack of a unified evaluation framework hinders assessment of their accuracy and effectiveness. To address this, we introduce XRL-Bench, a unified standardized benchmark tailored for the evaluation and comparison of XRL methods, encompassing three main modules: standard RL environments, explainers based on state importance, and standard evaluators. XRL-Bench supports both tabular and image data for state explanation. We also propose TabularSHAP, an innovative and competitive XRL method. We demonstrate the practical utility of TabularSHAP in real-world online gaming services and offer an open-source benchmark platform for the straightforward implementation and evaluation of XRL methods. Our contributions facilitate the continued progression of XRL technology.",Cornell University,openalex_api
